NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
63,"Rumah Baru Minimalis daerah Tebet Timur, Tebet, Jakarta Selatan","0,0578","0,1101","0,0617","0,2500","0,2222","0,1111"
64,"Rumah baru 2 lantai siap huni di tebet dengan harga terjangkau, Tebet, Jakarta Selatan","0,0391","0,1007","0,0431","0,1250","0,3333","0,0000"
65,"RUMAH KOKOH AMAN DAN STRATEGIS DI TEBET, Tebet, Jakarta Selatan","0,0289","0,0913","0,0267","0,2500","0,1111","0,0000"
66,"Rumah baru di Tebet Posisi hoek, Tebet, Jakarta Selatan","0,0391","0,0913","0,0416","0,1250","0,2222","0,1111"
67,"Rumah Tebet Mas Indah, Tebet, Jakarta Selatan, Tebet, Jakarta Selatan","0,1875","0,1251","0,1419","0,6250","0,2222","0,0000"
68,"Rumah 2 lantai ber carport 2 SHM di tebet jakarta selatan, Tebet, Jakarta Selatan","0,0516","0,1007","0,0431","0,2500","0,4444","0,1111"
69,"Rumah Mewah 2 Lantai Siap Huni Desain Apik Di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan","0,0898","0,2700","0,1159","0,2500","0,3333","0,0000"
70,"Rumah Lokasi Strategis Di Tebet, Tebet, Jakarta Selatan","0,0344","0,1289","0,0371","0,2500","0,2222","0,0000"
71,"Dijual Rumah Siap Huni di Komp Gudang Peluru, Tebet, Jakarta Selatan lt 282m2, Lebar Jalan 3 Mobil,Hubungi 0813-1838-1838 / 0878-7838-1838., Tebet, Jakarta Selatan","0,1133","0,3735","0,1694","0,5000","0,4444","0,1111"
72,"Rumah Tebet Dekat Stasiun Tebet, Tebet, Jakarta Selatan","0,0352","0,0818","0,0565","0,3750","0,1111","0,0000"
73,"Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan","0,0625","0,2512","0,2088","0,7500","0,3333","0,0000"
74,"Rumah Mewah di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan","0,1328","0,3594","0,1434","0,5000","0,4444","0,1111"
75,"Rumah second semi cluster di Tebet Timur Dalam Jaksel, Tebet, Jakarta Selatan","0,0375","0,0724","0,0371","0,2500","0,2222","0,0000"
76,"Rumah Bagus,Cantik Sangat Murah, Tebet, Jakarta Selatan","0,0625","0,2465","0,0788","0,8750","0,5556","0,1111"
77,"Rumah Di Kebon Baru, Tebet, Tebet, Jakarta Selatan","0,0719","0,1759","0,1270","0,3750","0,2222","0,1111"
78,"BEST PRICE Rumah di Tebet, akses jalan 2 mobil, Jakarta Selatan, Tebet, Jakarta Selatan","0,0547","0,1101","0,0602","0,2500","0,2222","0,0000"
79,"Rumah strategis di Kebon baru, Tebet, Jakarta Selatan","0,1531","0,4111","0,2571","0,5000","0,4444","0,2222"
80,"Rumah Termurah di Tebet Utara Jakarta Selatan, Tebet, Jakarta Selatan","0,0250","0,1383","0,0275","0,3750","0,3333","0,0000"
81,"Rumah Murah dibawah harga dekat Mal Kota Casablanca Jakarta Selatan, Tebet, Jakarta Selatan","0,0406","0,1101","0,0542","0,2500","0,3333","0,0000"
